,ID,year,month,day,hour,mins,waveperiod,wavedirection,waveheight,Lat,Lon,WindDir,windspeed,pressure,WindDir_L,possibility,datetime,hurrthreat
14,41046.0,2011.0,1.0,1.0,13.0,50.0,5.37,58.0,1.82,23.832,-68.417,55.0,8.6,1022.4,NE,0.0,2011-01-01 13:50:00,0
15,41046.0,2011.0,1.0,1.0,14.0,50.0,5.33,62.0,1.81,23.832,-68.417,48.0,9.6,1022.3,NE,0.0,2011-01-01 14:50:00,0
16,41046.0,2011.0,1.0,1.0,15.0,50.0,5.18,74.0,1.83,23.832,-68.417,47.0,9.2,1021.9,NE,0.0,2011-01-01 15:50:00,0
17,41046.0,2011.0,1.0,1.0,16.0,50.0,5.25,62.0,1.75,23.832,-68.417,49.0,9.1,1021.2,NE,0.0,2011-01-01 16:50:00,0
18,41046.0,2011.0,1.0,1.0,17.0,50.0,5.34,67.0,1.68,23.832,-68.417,47.0,8.6,1020.4,NE,0.0,2011-01-01 17:50:00,0
19,41046.0,2011.0,1.0,1.0,18.0,50.0,5.43,65.0,1.72,23.832,-68.417,59.0,7.6,1020.1,NE,0.0,2011-01-01 18:50:00,0
20,41046.0,2011.0,1.0,1.0,19.0,50.0,5.46,67.0,1.67,23.832,-68.417,55.0,7.3,1019.8,NE,0.0,2011-01-01 19:50:00,0
21,41046.0,2011.0,1.0,1.0,20.0,50.0,5.55,74.0,1.63,23.832,-68.417,58.0,7.4,1019.7,NE,0.0,2011-01-01 20:50:00,0
22,41046.0,2011.0,1.0,1.0,21.0,50.0,5.53,72.0,1.53,23.832,-68.417,59.0,7.6,1020.0,NE,0.0,2011-01-01 21:50:00,0
23,41046.0,2011.0,1.0,1.0,22.0,50.0,5.66,62.0,1.59,23.832,-68.417,76.0,7.3,1020.3,E,0.0,2011-01-01 22:50:00,0
24,41046.0,2011.0,1.0,1.0,23.0,50.0,5.44,75.0,1.57,23.832,-68.417,70.0,6.5,1020.9,E,0.0,2011-01-01 23:50:00,0
25,41046.0,2011.0,1.0,2.0,0.0,50.0,5.52,66.0,1.47,23.832,-68.417,71.0,6.6,1020.9,E,0.0,2011-01-02 00:50:00,0
26,41046.0,2011.0,1.0,2.0,1.0,50.0,5.42,76.0,1.44,23.832,-68.417,59.0,6.1,1021.3,NE,0.0,2011-01-02 01:50:00,0
27,41046.0,2011.0,1.0,2.0,2.0,50.0,5.61,57.0,1.41,23.832,-68.417,72.0,4.9,1021.6,E,0.0,2011-01-02 02:50:00,0
28,41046.0,2011.0,1.0,2.0,3.0,50.0,5.72,83.0,1.48,23.832,-68.417,89.0,5.0,1021.2,E,0.0,2011-01-02 03:50:00,0
29,41046.0,2011.0,1.0,2.0,4.0,50.0,5.48,87.0,1.36,23.832,-68.417,97.0,5.7,1020.6,E,0.0,2011-01-02 04:50:00,0
30,41046.0,2011.0,1.0,2.0,5.0,50.0,5.51,79.0,1.39,23.832,-68.417,80.0,6.8,1020.1,E,0.0,2011-01-02 05:50:00,0
31,41046.0,2011.0,1.0,2.0,6.0,50.0,5.39,75.0,1.45,23.832,-68.417,73.0,6.1,1019.8,E,0.0,2011-01-02 06:50:00,0
32,41046.0,2011.0,1.0,2.0,7.0,50.0,5.38,72.0,1.46,23.832,-68.417,64.0,7.5,1019.5,NE,0.0,2011-01-02 07:50:00,0
33,41046.0,2011.0,1.0,2.0,8.0,50.0,5.31,85.0,1.52,23.832,-68.417,60.0,8.7,1019.2,NE,0.0,2011-01-02 08:50:00,0
34,41046.0,2011.0,1.0,2.0,9.0,50.0,5.11,62.0,1.59,23.832,-68.417,65.0,8.2,1019.0,NE,0.0,2011-01-02 09:50:00,0
35,41046.0,2011.0,1.0,2.0,10.0,50.0,5.38,75.0,1.69,23.832,-68.417,64.0,9.5,1019.2,NE,0.0,2011-01-02 10:50:00,0
36,41046.0,2011.0,1.0,2.0,11.0,50.0,5.38,76.0,1.78,23.832,-68.417,68.0,9.9,1019.7,NE,0.0,2011-01-02 11:50:00,0
37,41046.0,2011.0,1.0,2.0,12.0,50.0,5.32,67.0,1.82,23.832,-68.417,65.0,9.5,1020.6,NE,0.0,2011-01-02 12:50:00,0
38,41046.0,2011.0,1.0,2.0,13.0,50.0,5.39,89.0,1.67,23.832,-68.417,106.0,5.0,1021.8,E,0.0,2011-01-02 13:50:00,0
39,41046.0,2011.0,1.0,2.0,14.0,50.0,5.4,80.0,1.81,23.832,-68.417,102.0,5.4,1021.9,E,0.0,2011-01-02 14:50:00,0
40,41046.0,2011.0,1.0,2.0,15.0,50.0,5.43,90.0,1.8,23.832,-68.417,76.0,7.8,1021.1,E,0.0,2011-01-02 15:50:00,0
41,41046.0,2011.0,1.0,2.0,16.0,50.0,5.32,71.0,1.59,23.832,-68.417,78.0,7.4,1020.5,E,0.0,2011-01-02 16:50:00,0
42,41046.0,2011.0,1.0,2.0,17.0,50.0,5.56,91.0,1.66,23.832,-68.417,72.0,6.7,1019.5,E,0.0,2011-01-02 17:50:00,0
43,41046.0,2011.0,1.0,2.0,18.0,50.0,5.62,83.0,1.74,23.832,-68.417,70.0,6.7,1018.9,E,0.0,2011-01-02 18:50:00,0
44,41046.0,2011.0,1.0,2.0,19.0,50.0,5.69,96.0,1.69,23.832,-68.417,72.0,6.6,1018.6,E,0.0,2011-01-02 19:50:00,0
45,41046.0,2011.0,1.0,2.0,20.0,50.0,5.66,95.0,1.62,23.832,-68.417,70.0,6.2,1018.5,E,0.0,2011-01-02 20:50:00,0
46,41046.0,2011.0,1.0,2.0,21.0,50.0,5.45,86.0,1.51,23.832,-68.417,72.0,6.9,1018.7,E,0.0,2011-01-02 21:50:00,0
47,41046.0,2011.0,1.0,2.0,22.0,50.0,5.79,91.0,1.68,23.832,-68.417,63.0,7.2,1019.0,NE,0.0,2011-01-02 22:50:00,0
48,41046.0,2011.0,1.0,2.0,23.0,50.0,5.79,87.0,1.63,23.832,-68.417,69.0,7.3,1019.3,NE,0.0,2011-01-02 23:50:00,0
49,41046.0,2011.0,1.0,3.0,0.0,50.0,5.52,87.0,1.61,23.832,-68.417,86.0,6.8,1019.7,E,0.0,2011-01-03 00:50:00,0
50,41046.0,2011.0,1.0,3.0,1.0,50.0,5.66,95.0,1.61,23.832,-68.417,70.0,6.8,1020.1,E,0.0,2011-01-03 01:50:00,0
51,41046.0,2011.0,1.0,3.0,2.0,50.0,5.77,96.0,1.65,23.832,-68.417,58.0,6.7,1020.2,NE,0.0,2011-01-03 02:50:00,0
52,41046.0,2011.0,1.0,3.0,3.0,50.0,5.79,90.0,1.69,23.832,-68.417,64.0,5.6,1020.0,NE,0.0,2011-01-03 03:50:00,0
53,41046.0,2011.0,1.0,3.0,4.0,50.0,5.7,85.0,1.54,23.832,-68.417,48.0,5.4,1019.6,NE,0.0,2011-01-03 04:50:00,0
54,41046.0,2011.0,1.0,3.0,5.0,50.0,5.93,98.0,1.64,23.832,-68.417,44.0,5.5,1019.0,NE,0.0,2011-01-03 05:50:00,0
55,41046.0,2011.0,1.0,3.0,6.0,50.0,5.57,95.0,1.47,23.832,-68.417,38.0,6.3,1018.5,NE,0.0,2011-01-03 06:50:00,0
56,41046.0,2011.0,1.0,3.0,7.0,50.0,5.57,105.0,1.41,23.832,-68.417,82.0,7.5,1018.1,E,0.0,2011-01-03 07:50:00,0
57,41046.0,2011.0,1.0,3.0,8.0,50.0,5.64,102.0,1.37,23.832,-68.417,55.0,4.6,1017.8,NE,0.0,2011-01-03 08:50:00,0
58,41046.0,2011.0,1.0,3.0,9.0,50.0,5.75,92.0,1.38,23.832,-68.417,47.0,6.0,1017.7,NE,0.0,2011-01-03 09:50:00,0
59,41046.0,2011.0,1.0,3.0,10.0,50.0,5.58,89.0,1.41,23.832,-68.417,44.0,6.4,1017.9,NE,0.0,2011-01-03 10:50:00,0
60,41046.0,2011.0,1.0,3.0,11.0,50.0,5.44,107.0,1.47,23.832,-68.417,42.0,7.1,1018.6,NE,0.0,2011-01-03 11:50:00,0
61,41046.0,2011.0,1.0,3.0,12.0,50.0,5.32,100.0,1.39,23.832,-68.417,49.0,7.0,1019.0,NE,0.0,2011-01-03 12:50:00,0
62,41046.0,2011.0,1.0,3.0,13.0,50.0,5.43,96.0,1.42,23.832,-68.417,45.0,7.0,1019.4,NE,0.0,2011-01-03 13:50:00,0
63,41046.0,2011.0,1.0,3.0,14.0,50.0,5.45,106.0,1.49,23.832,-68.417,54.0,7.1,1019.7,NE,0.0,2011-01-03 14:50:00,0
64,41046.0,2011.0,1.0,3.0,15.0,50.0,5.45,104.0,1.4,23.832,-68.417,59.0,5.6,1019.6,NE,0.0,2011-01-03 15:50:00,0
65,41046.0,2011.0,1.0,3.0,16.0,50.0,5.58,102.0,1.41,23.832,-68.417,53.0,5.3,1019.0,NE,0.0,2011-01-03 16:50:00,0
66,41046.0,2011.0,1.0,3.0,17.0,50.0,5.76,101.0,1.32,23.832,-68.417,45.0,4.2,1018.4,NE,0.0,2011-01-03 17:50:00,0
67,41046.0,2011.0,1.0,3.0,18.0,50.0,5.88,109.0,1.31,23.832,-68.417,46.0,4.1,1017.7,NE,0.0,2011-01-03 18:50:00,0
68,41046.0,2011.0,1.0,3.0,19.0,50.0,5.95,104.0,1.25,23.832,-68.417,36.0,5.2,1017.4,NE,0.0,2011-01-03 19:50:00,0
69,41046.0,2011.0,1.0,3.0,20.0,50.0,5.85,85.0,1.26,23.832,-68.417,47.0,4.7,1017.8,NE,0.0,2011-01-03 20:50:00,0
70,41046.0,2011.0,1.0,3.0,21.0,50.0,6.08,118.0,1.35,23.832,-68.417,39.0,4.7,1018.0,NE,0.0,2011-01-03 21:50:00,0
71,41046.0,2011.0,1.0,3.0,22.0,50.0,5.84,107.0,1.21,23.832,-68.417,24.0,5.0,1018.5,N,0.0,2011-01-03 22:50:00,0
72,41046.0,2011.0,1.0,3.0,23.0,50.0,5.84,99.0,1.28,23.832,-68.417,20.0,6.5,1019.2,N,0.0,2011-01-03 23:50:00,0
73,41046.0,2011.0,1.0,4.0,0.0,50.0,5.91,114.0,1.4,23.832,-68.417,27.0,5.7,1019.5,N,0.0,2011-01-04 00:50:00,0
74,41046.0,2011.0,1.0,4.0,1.0,50.0,5.61,112.0,1.23,23.832,-68.417,36.0,5.6,1019.5,NE,0.0,2011-01-04 01:50:00,0
75,41046.0,2011.0,1.0,4.0,2.0,50.0,5.87,112.0,1.27,23.832,-68.417,35.0,4.7,1019.8,NE,0.0,2011-01-04 02:50:00,0
76,41046.0,2011.0,1.0,4.0,3.0,50.0,6.03,116.0,1.3,23.832,-68.417,45.0,4.4,1019.6,NE,0.0,2011-01-04 03:50:00,0
77,41046.0,2011.0,1.0,4.0,4.0,50.0,5.95,105.0,1.29,23.832,-68.417,66.0,4.3,1019.5,NE,0.0,2011-01-04 04:50:00,0
78,41046.0,2011.0,1.0,4.0,5.0,50.0,5.66,98.0,1.19,23.832,-68.417,58.0,4.7,1019.0,NE,0.0,2011-01-04 05:50:00,0
79,41046.0,2011.0,1.0,4.0,6.0,50.0,5.82,107.0,1.21,23.832,-68.417,60.0,4.6,1018.5,NE,0.0,2011-01-04 06:50:00,0
80,41046.0,2011.0,1.0,4.0,7.0,50.0,5.75,106.0,1.18,23.832,-68.417,51.0,4.0,1018.1,NE,0.0,2011-01-04 07:50:00,0
81,41046.0,2011.0,1.0,4.0,8.0,50.0,5.89,108.0,1.15,23.832,-68.417,41.0,4.2,1018.0,NE,0.0,2011-01-04 08:50:00,0
82,41046.0,2011.0,1.0,4.0,9.0,50.0,5.76,109.0,1.04,23.832,-68.417,55.0,4.5,1017.7,NE,0.0,2011-01-04 09:50:00,0
83,41046.0,2011.0,1.0,4.0,10.0,50.0,6.05,98.0,1.21,23.832,-68.417,53.0,4.5,1018.1,NE,0.0,2011-01-04 10:50:00,0
84,41046.0,2011.0,1.0,4.0,11.0,50.0,5.92,102.0,1.07,23.832,-68.417,49.0,4.3,1018.7,NE,0.0,2011-01-04 11:50:00,0
85,41046.0,2011.0,1.0,4.0,12.0,50.0,6.03,115.0,1.09,23.832,-68.417,43.0,3.9,1019.4,NE,0.0,2011-01-04 12:50:00,0
86,41046.0,2011.0,1.0,4.0,13.0,50.0,6.07,110.0,1.1,23.832,-68.417,66.0,3.7,1020.0,NE,0.0,2011-01-04 13:50:00,0
87,41046.0,2011.0,1.0,4.0,14.0,50.0,6.05,100.0,1.01,23.832,-68.417,87.0,3.6,1020.2,E,0.0,2011-01-04 14:50:00,0
88,41046.0,2011.0,1.0,4.0,15.0,50.0,5.96,101.0,1.01,23.832,-68.417,73.0,3.5,1020.0,E,0.0,2011-01-04 15:50:00,0
89,41046.0,2011.0,1.0,4.0,16.0,50.0,5.8,118.0,0.96,23.832,-68.417,64.0,3.3,1019.4,NE,0.0,2011-01-04 16:50:00,0
90,41046.0,2011.0,1.0,4.0,17.0,50.0,6.14,112.0,1.07,23.832,-68.417,75.0,3.8,1018.7,E,0.0,2011-01-04 17:50:00,0
91,41046.0,2011.0,1.0,4.0,18.0,50.0,6.17,100.0,1.01,23.832,-68.417,65.0,3.9,1018.2,NE,0.0,2011-01-04 18:50:00,0
92,41046.0,2011.0,1.0,4.0,19.0,50.0,6.39,115.0,1.06,23.832,-68.417,61.0,4.1,1018.0,NE,0.0,2011-01-04 19:50:00,0
93,41046.0,2011.0,1.0,4.0,20.0,50.0,6.13,98.0,0.91,23.832,-68.417,63.0,4.0,1018.1,NE,0.0,2011-01-04 20:50:00,0
94,41046.0,2011.0,1.0,4.0,21.0,50.0,6.16,107.0,0.92,23.832,-68.417,71.0,4.0,1018.3,E,0.0,2011-01-04 21:50:00,0
95,41046.0,2011.0,1.0,4.0,22.0,50.0,6.07,106.0,0.89,23.832,-68.417,78.0,4.1,1018.4,E,0.0,2011-01-04 22:50:00,0
96,41046.0,2011.0,1.0,4.0,23.0,50.0,6.28,93.0,0.87,23.832,-68.417,58.0,4.2,1018.8,NE,0.0,2011-01-04 23:50:00,0
97,41046.0,2011.0,1.0,5.0,0.0,50.0,6.6,127.0,0.93,23.832,-68.417,70.0,4.2,1019.1,E,0.0,2011-01-05 00:50:00,0
98,41046.0,2011.0,1.0,5.0,1.0,50.0,6.75,112.0,1.08,23.832,-68.417,73.0,3.7,1019.3,E,0.0,2011-01-05 01:50:00,0
99,41046.0,2011.0,1.0,5.0,2.0,50.0,6.69,121.0,1.06,23.832,-68.417,76.0,3.7,1019.4,E,0.0,2011-01-05 02:50:00,0
100,41046.0,2011.0,1.0,5.0,3.0,50.0,6.36,95.0,0.92,23.832,-68.417,70.0,3.5,1019.2,E,0.0,2011-01-05 03:50:00,0
101,41046.0,2011.0,1.0,5.0,4.0,50.0,6.57,112.0,0.98,23.832,-68.417,68.0,2.9,1018.9,NE,0.0,2011-01-05 04:50:00,0
102,41046.0,2011.0,1.0,5.0,5.0,50.0,6.58,115.0,1.0,23.832,-68.417,85.0,2.9,1018.7,E,0.0,2011-01-05 05:50:00,0
103,41046.0,2011.0,1.0,5.0,6.0,50.0,6.68,105.0,0.99,23.832,-68.417,86.0,2.9,1018.5,E,0.0,2011-01-05 06:50:00,0
104,41046.0,2011.0,1.0,5.0,7.0,50.0,6.76,103.0,1.05,23.832,-68.417,76.0,2.1,1018.3,E,0.0,2011-01-05 07:50:00,0
105,41046.0,2011.0,1.0,5.0,8.0,50.0,7.05,13.0,1.11,23.832,-68.417,65.0,2.3,1018.0,NE,0.0,2011-01-05 08:50:00,0
106,41046.0,2011.0,1.0,5.0,9.0,50.0,7.49,8.0,1.23,23.832,-68.417,75.0,2.3,1017.9,E,0.0,2011-01-05 09:50:00,0
107,41046.0,2011.0,1.0,5.0,10.0,50.0,7.45,17.0,1.3,23.832,-68.417,73.0,1.7,1018.3,E,0.0,2011-01-05 10:50:00,0
108,41046.0,2011.0,1.0,5.0,11.0,50.0,7.78,5.0,1.5,23.832,-68.417,46.0,1.3,1018.7,NE,0.0,2011-01-05 11:50:00,0
109,41046.0,2011.0,1.0,5.0,12.0,50.0,7.75,16.0,1.55,23.832,-68.417,61.0,1.6,1019.2,NE,0.0,2011-01-05 12:50:00,0
