#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 03 02 50  51 10.3 12.2  2.67  6.67  5.55 999 1013.9  26.3  27.4  19.4 99.0 99.00
2011 01 03 03 50  56 10.3 13.0  2.32  6.67  5.25 999 1013.4  26.2  27.4  19.8 99.0 99.00
2011 01 03 04 50  52 10.9 13.2  2.65  6.67  5.58 999 1013.1  25.8  27.4  20.8 99.0 99.00
2011 01 03 05 50  50 11.4 13.9  2.50  6.67  5.35 999 1012.5  25.6  27.4  20.9 99.0 99.00
2011 01 03 06 50  51 12.1 15.3  2.57  6.67  5.29 999 1011.8  25.5  27.4  20.8 99.0 99.00
2011 01 03 07 50  53 10.9 12.6  2.71  6.25  5.51 999 1011.8  25.6  27.4  20.1 99.0 99.00
2011 01 03 08 50  50 10.5 12.2  2.50  7.14  5.28 999 1011.7  25.7  27.4  19.8 99.0 99.00
2011 01 03 09 50  55 10.6 12.7  2.59  6.67  5.50 999 1012.0  25.9  27.4  20.1 99.0 99.00
2011 01 03 10 50  51 10.8 12.5  2.38  6.67  5.34 999 1012.6  25.9  27.4  19.9 99.0 99.00
2011 01 03 11 50  54 10.9 12.5  2.57  6.67  5.36 999 1013.1  26.1  27.4  20.3 99.0 99.00
2011 01 03 12 50  33 10.5 13.0  2.40  7.14  5.37 999 1013.9  25.9  27.4  20.6 99.0 99.00
2011 01 03 13 50  41 10.8 12.8  2.40  6.67  5.34 999 1014.4  26.4  27.4  20.2 99.0 99.00
2011 01 03 14 50  43 10.3 12.6  2.48  7.69  5.41 999 1014.3  26.4  27.4  20.3 99.0 99.00
2011 01 03 15 50  48 11.1 13.7  2.53  6.67  5.49 999 1013.7  26.1  27.4  20.1 99.0 99.00
2011 01 03 16 50  40  9.9 12.1  2.57  7.14  5.44 999 1013.1  25.9  27.4  19.7 99.0 99.00
2011 01 03 17 50  45 11.2 13.5  2.42  7.69  5.24 999 1012.3  26.1  27.4  20.0 99.0 99.00
2011 01 03 18 50  53 11.0 13.3  2.51  6.67  5.36 999 1011.8  26.3  27.4  20.0 99.0 99.00
2011 01 03 19 50  49 10.9 12.8  2.52  6.67  5.27 999 1011.8  26.2  27.4  20.0 99.0 99.00
2011 01 03 20 50  54 10.9 13.1  2.35  6.25  5.23 999 1012.0  26.1  27.4  20.0 99.0 99.00
2011 01 03 21 50  56 10.7 12.7  2.51  6.67  5.39 999 1012.3  26.0  27.3  19.8 99.0 99.00
2011 01 03 22 50  54 11.1 14.0  2.39  7.14  5.31 999 1012.4  26.1  27.1  20.3 99.0 99.00
2011 01 03 23 50  54 10.3 12.5  2.51  6.67  5.28 999 1013.0  26.2  27.1  20.1 99.0 99.00
2011 01 04 00 50  62 11.0 13.1  2.41  7.14  5.26 999 1013.4  26.2  27.0  20.5 99.0 99.00
2011 01 04 01 50  71 10.5 13.0  2.31  6.67  5.17 999 1014.2  23.8  26.9  21.9 99.0 99.00
2011 01 04 02 50  61 10.5 13.2  2.25  6.67  5.03 999 1013.9  24.7  26.9  21.7 99.0 99.00
2011 01 04 03 50  74 10.5 13.2  2.09  7.69  5.00 999 1013.8  24.7  26.9  22.0 99.0 99.00
2011 01 04 04 50  76  8.4 11.0  2.11  6.25  5.14 999 1013.7  23.6  26.9  22.4 99.0 99.00
2011 01 04 05 50  63  8.0 11.2  2.15  5.88  5.17 999 1012.9  23.7  26.8  22.7 99.0 99.00
2011 01 04 06 50  50 11.1 13.1  2.12  6.25  4.85 999 1012.0  24.4  26.8  21.8 99.0 99.00
2011 01 04 07 50  49 11.6 13.7  2.02  6.67  4.79 999 1011.8  23.6  26.9  22.6 99.0 99.00
2011 01 04 08 50  48 12.3 14.2  2.21  6.25  4.96 999 1011.7  23.6  26.9  22.2 99.0 99.00
2011 01 04 09 50  52 12.6 16.0  2.20  6.25  4.92 999 1012.1  24.1  26.9  22.4 99.0 99.00
2011 01 04 10 50  71  9.8 12.1  1.89  5.56  4.78 999 1013.0  24.3  26.9  22.1 99.0 99.00
2011 01 04 11 50  66 10.6 12.0  2.05  6.25  4.90 999 1013.5  24.7  26.9  21.4 99.0 99.00
2011 01 04 12 50  50  8.2 10.8  1.99  6.25  4.75 999 1015.2  23.3  26.9  21.8 99.0 99.00
2011 01 04 13 50  46  5.5  7.0  1.73  6.25  4.88 999 1015.2  23.4  26.9  22.3 99.0 99.00
2011 01 04 14 50  68 11.3 13.1  1.99  6.25  4.91 999 1014.8  24.8  26.9  22.0 99.0 99.00
2011 01 04 15 50  61  9.8 11.4  2.10  5.88  5.14 999 1014.4  24.4  26.9  22.3 99.0 99.00
2011 01 04 16 50  73 10.2 12.4  2.40  7.14  5.24 999 1013.6  25.5  26.9  22.3 99.0 99.00
2011 01 04 17 50  74 10.2 12.1  2.15  7.14  5.01 999 1013.4  24.4  26.9  22.6 99.0 99.00
2011 01 04 18 50  78  9.9 12.1  2.15  6.67  4.99 999 1012.8  25.1  26.9  23.0 99.0 99.00
2011 01 04 19 50  67 11.2 13.2  2.26  6.67  4.93 999 1012.6  24.8  26.9  22.7 99.0 99.00
2011 01 04 20 50  72 10.3 12.1  1.94  6.67  4.81 999 1012.7  25.7  26.9  22.3 99.0 99.00
2011 01 04 21 50  82 10.7 12.8  2.04  7.14  4.85 999 1012.8  26.3  26.8  22.3 99.0 99.00
2011 01 04 22 50  82 11.3 13.1  1.92  6.67  4.84 999 1013.3  26.0  26.8  22.5 99.0 99.00
2011 01 04 23 50  76 10.7 12.6  2.08  6.67  4.73 999 1013.9  25.2  26.8  22.3 99.0 99.00
2011 01 05 00 50  76 10.8 12.7  2.04  5.88  4.74 999 1014.2  25.8  26.8  22.7 99.0 99.00
2011 01 05 01 50  79 10.0 12.4  2.05  6.67  4.76 999 1014.6  26.1  26.8  22.8 99.0 99.00
2011 01 05 02 50  76  9.2 10.9  2.05  6.67  4.83 999 1014.7  26.1  26.8  23.0 99.0 99.00
2011 01 05 03 50  78 10.0 11.4  1.97  5.56  4.77 999 1014.3  26.4  26.8  22.2 99.0 99.00
2011 01 05 04 50  71  9.7 11.8  2.05  5.56  4.88 999 1014.1  25.9  26.8  22.7 99.0 99.00
2011 01 05 05 50  71  9.8 11.7  2.19  6.25  4.88 999 1013.7  25.9  26.8  22.5 99.0 99.00
2011 01 05 06 50  74  9.4 11.4  2.00  6.67  4.76 999 1013.2  26.2  26.8  22.4 99.0 99.00
2011 01 05 07 50  69  9.8 11.4  1.94  5.56  4.54 999 1013.1  25.8  26.8  22.4 99.0 99.00
2011 01 05 08 50  76 10.5 12.2 99.00  5.88  5.38 999 1013.1  26.2  26.9  22.2 99.0 99.00
2011 01 05 09 50  99 10.4 13.3  1.84  6.25  4.45 999 1013.4  26.0  26.9  22.6 99.0 99.00
2011 01 05 10 50  73  9.6 99.0 99.00 99.00 99.00 999 9999.0  25.4 999.0  22.8 99.0 99.00
2011 01 05 11 50  78  9.3 11.0  2.02  6.25  4.78 999 1014.9  26.1  26.9  22.2 99.0 99.00
