,datetime,actual_pressure,predicted_pressure,actual_windspeed,predicted_windspeed
72,2011-08-30 20:50:00,1019.0,1019.2999999999998,4.1,4.3
73,2011-08-30 21:50:00,1018.8,1019.0000000000001,3.2,4.1
74,2011-08-30 22:50:00,1018.7,1018.8,3.0,3.2000000000000006
75,2011-08-30 23:50:00,1019.1,1018.7000000000003,3.4,3.0
76,2011-08-31 00:50:00,1019.7,1019.0999999999995,2.7,3.4
77,2011-08-31 01:50:00,1019.9,1019.7,4.0,2.7
78,2011-08-31 02:50:00,1020.2,1019.9000000000003,4.0,4.0
79,2011-08-31 03:50:00,1020.6,1020.1999999999995,3.3,4.0
80,2011-08-31 04:50:00,1021.0,1020.5999999999996,3.5,3.2999999999999994
81,2011-08-31 05:50:00,1021.1,1021.0000000000005,3.5,3.5000000000000004
82,2011-08-31 06:50:00,1021.1,1021.0999999999999,2.7,3.5000000000000004
83,2011-08-31 07:50:00,1021.3,1021.0999999999999,2.7,2.7
84,2011-08-31 08:50:00,1021.0,1021.2999999999998,3.8,2.7
85,2011-08-31 09:50:00,1021.1,1021.0000000000005,3.1,3.8
86,2011-08-31 10:50:00,1021.5,1021.0999999999999,1.4,3.1
87,2011-08-31 11:50:00,1021.9,1021.5000000000001,2.0,1.4
88,2011-08-31 12:50:00,1022.0,1021.8999999999999,1.7,1.9999999999999998
89,2011-08-31 13:50:00,1022.1,1022.0000000000003,1.3,1.7
90,2011-08-31 14:50:00,1022.4,1022.1,1.3,1.3
91,2011-08-31 15:50:00,1022.4,1022.3999999999996,1.6,1.3
92,2011-08-31 16:50:00,1022.3,1022.3999999999996,0.3,1.6
93,2011-08-31 17:50:00,1022.1,1022.3,1.3,0.29999999999999993
94,2011-08-31 18:50:00,1021.7,1022.1,2.0,1.3000000000000003
95,2011-08-31 19:50:00,1021.0,1021.6999999999996,3.0,2.0
96,2011-08-31 20:50:00,1021.0,1021.0000000000005,1.9,3.0
97,2011-08-31 21:50:00,1021.0,1021.0000000000005,2.3,1.9
98,2011-08-31 22:50:00,1020.6,1021.0000000000005,2.8,2.3
99,2011-08-31 23:50:00,1020.3,1020.5999999999996,2.8,2.8
