,Unnamed: 0,ID,year,month,day,hour,mins,waveperiod,wavedirection,waveheight,Lat,Lon,WindDir,windspeed,pressure,WindDir_L,possibility,datetime,hurrthreat
0,0,44014.0,2010.0,12.0,31.0,23.0,50.0,5.59,98.0,0.55,36.611,-74.843,999.0,5.874248449180844,1025.8,N,0.0,2010-12-31 23:50:00,0
1,1,44014.0,2011.0,1.0,1.0,0.0,50.0,5.23,83.0,0.54,36.611,-74.843,999.0,5.874248449180844,1025.9,N,0.0,2011-01-01 00:50:00,0
2,2,44014.0,2011.0,1.0,1.0,1.0,50.0,5.11,97.0,0.54,36.611,-74.843,999.0,5.874248449180844,1026.2,N,0.0,2011-01-01 01:50:00,0
3,3,44014.0,2011.0,1.0,1.0,2.0,50.0,4.67,88.0,0.49,36.611,-74.843,999.0,5.874248449180844,1025.8,N,0.0,2011-01-01 02:50:00,0
4,4,44014.0,2011.0,1.0,1.0,3.0,50.0,4.81,93.0,0.49,36.611,-74.843,999.0,5.874248449180844,1025.7,N,0.0,2011-01-01 03:50:00,0
5,5,44014.0,2011.0,1.0,1.0,4.0,50.0,4.97,96.0,0.47,36.611,-74.843,999.0,5.874248449180844,1025.2,N,0.0,2011-01-01 04:50:00,0
6,6,44014.0,2011.0,1.0,1.0,5.0,50.0,4.19,105.0,0.46,36.611,-74.843,999.0,5.874248449180844,1024.6,N,0.0,2011-01-01 05:50:00,0
7,7,44014.0,2011.0,1.0,1.0,6.0,50.0,4.16,87.0,0.48,36.611,-74.843,999.0,5.874248449180844,1024.8,N,0.0,2011-01-01 06:50:00,0
8,8,44014.0,2011.0,1.0,1.0,7.0,50.0,4.17,84.0,0.49,36.611,-74.843,999.0,5.874248449180844,1024.9,N,0.0,2011-01-01 07:50:00,0
9,9,44014.0,2011.0,1.0,1.0,8.0,50.0,4.34,81.0,0.5,36.611,-74.843,999.0,5.874248449180844,1024.5,N,0.0,2011-01-01 08:50:00,0
10,10,44014.0,2011.0,1.0,1.0,9.0,50.0,4.31,88.0,0.5,36.611,-74.843,999.0,5.874248449180844,1024.5,N,0.0,2011-01-01 09:50:00,0
11,11,44014.0,2011.0,1.0,1.0,10.0,50.0,4.54,91.0,0.47,36.611,-74.843,999.0,5.874248449180844,1024.5,N,0.0,2011-01-01 10:50:00,0
12,12,44014.0,2011.0,1.0,1.0,11.0,50.0,4.74,102.0,0.48,36.611,-74.843,999.0,5.874248449180844,1024.7,N,0.0,2011-01-01 11:50:00,0
