,Unnamed: 0,ID,year,month,day,hour,mins,waveperiod,wavedirection,waveheight,Lat,Lon,WindDir,windspeed,pressure,WindDir_L,possibility,datetime,hurrthreat
0,0,42060.0,2010.0,12.0,31.0,23.0,50.0,5.22,999.0,2.21,16.387,-63.35,43.0,9.1,1015.2,NE,0.0,2010-12-31 23:50:00,0
1,1,42060.0,2011.0,1.0,1.0,0.0,50.0,5.27,999.0,2.08,16.387,-63.35,39.0,9.7,1015.6,NE,0.0,2011-01-01 00:50:00,0
2,2,42060.0,2011.0,1.0,1.0,1.0,50.0,5.25,999.0,2.19,16.387,-63.35,42.0,10.0,1015.8,NE,0.0,2011-01-01 01:50:00,0
3,3,42060.0,2011.0,1.0,1.0,2.0,50.0,5.33,999.0,2.14,16.387,-63.35,48.0,7.7,1015.6,NE,0.0,2011-01-01 02:50:00,0
4,4,42060.0,2011.0,1.0,1.0,3.0,50.0,5.28,999.0,1.96,16.387,-63.35,43.0,8.3,1015.3,NE,0.0,2011-01-01 03:50:00,0
5,5,42060.0,2011.0,1.0,1.0,4.0,50.0,5.32,999.0,1.85,16.387,-63.35,44.0,8.4,1015.0,NE,0.0,2011-01-01 04:50:00,0
6,6,42060.0,2011.0,1.0,1.0,5.0,50.0,5.27,999.0,1.97,16.387,-63.35,41.0,7.8,1014.6,NE,0.0,2011-01-01 05:50:00,0
7,7,42060.0,2011.0,1.0,1.0,6.0,50.0,5.32,999.0,1.94,16.387,-63.35,39.0,9.0,1013.8,NE,0.0,2011-01-01 06:50:00,0
8,8,42060.0,2011.0,1.0,1.0,7.0,50.0,5.25,999.0,1.91,16.387,-63.35,43.0,8.2,1013.6,NE,0.0,2011-01-01 07:50:00,0
9,9,42060.0,2011.0,1.0,1.0,8.0,50.0,5.18,999.0,1.89,16.387,-63.35,47.0,8.6,1013.8,NE,0.0,2011-01-01 08:50:00,0
10,10,42060.0,2011.0,1.0,1.0,9.0,50.0,5.17,999.0,1.97,16.387,-63.35,50.0,8.7,1014.1,NE,0.0,2011-01-01 09:50:00,0
11,11,42060.0,2011.0,1.0,1.0,10.0,50.0,5.26,999.0,2.21,16.387,-63.35,48.0,10.3,1014.2,NE,0.0,2011-01-01 10:50:00,0
12,12,42060.0,2011.0,1.0,1.0,11.0,50.0,5.39,999.0,2.12,16.387,-63.35,54.0,8.8,1014.8,NE,0.0,2011-01-01 11:50:00,0
13,13,42060.0,2011.0,1.0,1.0,12.0,50.0,5.29,999.0,2.07,16.387,-63.35,52.0,9.5,1015.5,NE,0.0,2011-01-01 12:50:00,0
14,14,42060.0,2011.0,1.0,1.0,13.0,50.0,5.44,999.0,2.21,16.387,-63.35,55.0,8.7,1015.9,NE,0.0,2011-01-01 13:50:00,0
15,15,42060.0,2011.0,1.0,1.0,14.0,50.0,5.31,999.0,2.07,16.387,-63.35,57.0,8.7,1015.6,NE,0.0,2011-01-01 14:50:00,0
16,16,42060.0,2011.0,1.0,1.0,15.0,50.0,5.34,999.0,2.08,16.387,-63.35,55.0,8.2,1014.8,NE,0.0,2011-01-01 15:50:00,0
17,17,42060.0,2011.0,1.0,1.0,16.0,50.0,5.38,999.0,1.92,16.387,-63.35,50.0,8.3,1013.9,NE,0.0,2011-01-01 16:50:00,0
18,18,42060.0,2011.0,1.0,1.0,17.0,50.0,5.36,999.0,2.06,16.387,-63.35,64.0,9.4,1012.9,NE,0.0,2011-01-01 17:50:00,0
19,19,42060.0,2011.0,1.0,1.0,18.0,50.0,5.21,999.0,2.01,16.387,-63.35,54.0,8.9,1012.8,NE,0.0,2011-01-01 18:50:00,0
20,20,42060.0,2011.0,1.0,1.0,19.0,50.0,5.23,999.0,2.23,16.387,-63.35,56.0,9.1,1012.7,NE,0.0,2011-01-01 19:50:00,0
21,21,42060.0,2011.0,1.0,1.0,20.0,50.0,5.3,999.0,2.08,16.387,-63.35,53.0,9.1,1013.2,NE,0.0,2011-01-01 20:50:00,0
22,22,42060.0,2011.0,1.0,1.0,21.0,50.0,5.15,999.0,2.08,16.387,-63.35,55.0,9.3,1013.6,NE,0.0,2011-01-01 21:50:00,0
23,23,42060.0,2011.0,1.0,1.0,22.0,50.0,5.28,999.0,2.18,16.387,-63.35,52.0,9.9,1014.0,NE,0.0,2011-01-01 22:50:00,0
24,24,42060.0,2011.0,1.0,1.0,23.0,50.0,5.16,999.0,2.19,16.387,-63.35,53.0,9.5,1014.5,NE,0.0,2011-01-01 23:50:00,0
25,25,42060.0,2011.0,1.0,2.0,0.0,50.0,5.05,999.0,2.13,16.387,-63.35,49.0,9.7,1014.9,NE,0.0,2011-01-02 00:50:00,0
26,26,42060.0,2011.0,1.0,2.0,1.0,50.0,5.3,999.0,2.12,16.387,-63.35,60.0,9.4,1015.3,NE,0.0,2011-01-02 01:50:00,0
27,27,42060.0,2011.0,1.0,2.0,2.0,50.0,5.18,999.0,2.05,16.387,-63.35,52.0,9.4,1015.1,NE,0.0,2011-01-02 02:50:00,0
28,28,42060.0,2011.0,1.0,2.0,3.0,50.0,5.27,999.0,1.99,16.387,-63.35,52.0,9.4,1014.5,NE,0.0,2011-01-02 03:50:00,0
29,29,42060.0,2011.0,1.0,2.0,4.0,50.0,5.23,999.0,2.14,16.387,-63.35,49.0,8.7,1014.2,NE,0.0,2011-01-02 04:50:00,0
30,30,42060.0,2011.0,1.0,2.0,5.0,50.0,5.36,999.0,2.01,16.387,-63.35,60.0,8.8,1013.7,NE,0.0,2011-01-02 05:50:00,0
31,31,42060.0,2011.0,1.0,2.0,6.0,50.0,5.23,999.0,2.04,16.387,-63.35,60.0,8.7,1013.1,NE,0.0,2011-01-02 06:50:00,0
32,32,42060.0,2011.0,1.0,2.0,7.0,50.0,5.61,999.0,2.22,16.387,-63.35,53.0,8.8,1012.8,NE,0.0,2011-01-02 07:50:00,0
33,33,42060.0,2011.0,1.0,2.0,8.0,50.0,5.58,999.0,2.31,16.387,-63.35,56.0,9.1,1013.0,NE,0.0,2011-01-02 08:50:00,0
34,34,42060.0,2011.0,1.0,2.0,9.0,50.0,5.41,999.0,2.2,16.387,-63.35,51.0,8.9,1013.5,NE,0.0,2011-01-02 09:50:00,0
35,35,42060.0,2011.0,1.0,2.0,10.0,50.0,5.43,999.0,2.18,16.387,-63.35,58.0,8.4,1013.9,NE,0.0,2011-01-02 10:50:00,0
36,36,42060.0,2011.0,1.0,2.0,11.0,50.0,5.49,999.0,2.07,16.387,-63.35,55.0,7.9,1014.7,NE,0.0,2011-01-02 11:50:00,0
37,37,42060.0,2011.0,1.0,2.0,12.0,50.0,5.56,999.0,2.14,16.387,-63.35,58.0,7.9,1015.2,NE,0.0,2011-01-02 12:50:00,0
38,38,42060.0,2011.0,1.0,2.0,13.0,50.0,5.41,999.0,2.12,16.387,-63.35,79.0,9.6,1015.7,E,0.0,2011-01-02 13:50:00,0
39,39,42060.0,2011.0,1.0,2.0,14.0,50.0,5.63,999.0,2.08,16.387,-63.35,71.0,8.3,1015.4,E,0.0,2011-01-02 14:50:00,0
40,40,42060.0,2011.0,1.0,2.0,15.0,50.0,5.4,999.0,2.12,16.387,-63.35,67.0,11.2,1014.8,NE,0.0,2011-01-02 15:50:00,0
41,41,42060.0,2011.0,1.0,2.0,16.0,50.0,5.35,999.0,2.26,16.387,-63.35,70.0,12.1,1013.9,E,0.0,2011-01-02 16:50:00,0
42,42,42060.0,2011.0,1.0,2.0,17.0,50.0,5.34,999.0,2.24,16.387,-63.35,94.0,8.0,1013.0,E,0.0,2011-01-02 17:50:00,0
43,43,42060.0,2011.0,1.0,2.0,18.0,50.0,5.34,999.0,2.18,16.387,-63.35,57.0,9.4,1012.2,NE,0.0,2011-01-02 18:50:00,0
44,44,42060.0,2011.0,1.0,2.0,19.0,50.0,5.38,999.0,2.2,16.387,-63.35,64.0,10.5,1011.9,NE,0.0,2011-01-02 19:50:00,0
45,45,42060.0,2011.0,1.0,2.0,20.0,50.0,5.43,999.0,2.53,16.387,-63.35,65.0,10.9,1012.1,NE,0.0,2011-01-02 20:50:00,0
46,46,42060.0,2011.0,1.0,2.0,21.0,50.0,5.24,999.0,2.43,16.387,-63.35,56.0,10.8,1012.4,NE,0.0,2011-01-02 21:50:00,0
47,47,42060.0,2011.0,1.0,2.0,22.0,50.0,5.54,999.0,2.63,16.387,-63.35,52.0,11.4,1012.7,NE,0.0,2011-01-02 22:50:00,0
48,48,42060.0,2011.0,1.0,2.0,23.0,50.0,5.48,999.0,2.72,16.387,-63.35,54.0,11.2,1013.3,NE,0.0,2011-01-02 23:50:00,0
49,49,42060.0,2011.0,1.0,3.0,0.0,50.0,5.32,999.0,2.57,16.387,-63.35,56.0,11.3,1013.8,NE,0.0,2011-01-03 00:50:00,0
50,50,42060.0,2011.0,1.0,3.0,1.0,50.0,5.42,999.0,2.61,16.387,-63.35,51.0,10.9,1014.0,NE,0.0,2011-01-03 01:50:00,0
51,51,42060.0,2011.0,1.0,3.0,2.0,50.0,5.55,999.0,2.67,16.387,-63.35,51.0,10.3,1013.9,NE,0.0,2011-01-03 02:50:00,0
52,52,42060.0,2011.0,1.0,3.0,3.0,50.0,5.25,999.0,2.32,16.387,-63.35,56.0,10.3,1013.4,NE,0.0,2011-01-03 03:50:00,0
53,53,42060.0,2011.0,1.0,3.0,4.0,50.0,5.58,999.0,2.65,16.387,-63.35,52.0,10.9,1013.1,NE,0.0,2011-01-03 04:50:00,0
54,54,42060.0,2011.0,1.0,3.0,5.0,50.0,5.35,999.0,2.5,16.387,-63.35,50.0,11.4,1012.5,NE,0.0,2011-01-03 05:50:00,0
55,55,42060.0,2011.0,1.0,3.0,6.0,50.0,5.29,999.0,2.57,16.387,-63.35,51.0,12.1,1011.8,NE,0.0,2011-01-03 06:50:00,0
56,56,42060.0,2011.0,1.0,3.0,7.0,50.0,5.51,999.0,2.71,16.387,-63.35,53.0,10.9,1011.8,NE,0.0,2011-01-03 07:50:00,0
57,57,42060.0,2011.0,1.0,3.0,8.0,50.0,5.28,999.0,2.5,16.387,-63.35,50.0,10.5,1011.7,NE,0.0,2011-01-03 08:50:00,0
58,58,42060.0,2011.0,1.0,3.0,9.0,50.0,5.5,999.0,2.59,16.387,-63.35,55.0,10.6,1012.0,NE,0.0,2011-01-03 09:50:00,0
59,59,42060.0,2011.0,1.0,3.0,10.0,50.0,5.34,999.0,2.38,16.387,-63.35,51.0,10.8,1012.6,NE,0.0,2011-01-03 10:50:00,0
60,60,42060.0,2011.0,1.0,3.0,11.0,50.0,5.36,999.0,2.57,16.387,-63.35,54.0,10.9,1013.1,NE,0.0,2011-01-03 11:50:00,0
61,61,42060.0,2011.0,1.0,3.0,12.0,50.0,5.37,999.0,2.4,16.387,-63.35,33.0,10.5,1013.9,N,0.0,2011-01-03 12:50:00,0
62,62,42060.0,2011.0,1.0,3.0,13.0,50.0,5.34,999.0,2.4,16.387,-63.35,41.0,10.8,1014.4,NE,0.0,2011-01-03 13:50:00,0
63,63,42060.0,2011.0,1.0,3.0,14.0,50.0,5.41,999.0,2.48,16.387,-63.35,43.0,10.3,1014.3,NE,0.0,2011-01-03 14:50:00,0
64,64,42060.0,2011.0,1.0,3.0,15.0,50.0,5.49,999.0,2.53,16.387,-63.35,48.0,11.1,1013.7,NE,0.0,2011-01-03 15:50:00,0
65,65,42060.0,2011.0,1.0,3.0,16.0,50.0,5.44,999.0,2.57,16.387,-63.35,40.0,9.9,1013.1,NE,0.0,2011-01-03 16:50:00,0
66,66,42060.0,2011.0,1.0,3.0,17.0,50.0,5.24,999.0,2.42,16.387,-63.35,45.0,11.2,1012.3,NE,0.0,2011-01-03 17:50:00,0
67,67,42060.0,2011.0,1.0,3.0,18.0,50.0,5.36,999.0,2.51,16.387,-63.35,53.0,11.0,1011.8,NE,0.0,2011-01-03 18:50:00,0
68,68,42060.0,2011.0,1.0,3.0,19.0,50.0,5.27,999.0,2.52,16.387,-63.35,49.0,10.9,1011.8,NE,0.0,2011-01-03 19:50:00,0
69,69,42060.0,2011.0,1.0,3.0,20.0,50.0,5.23,999.0,2.35,16.387,-63.35,54.0,10.9,1012.0,NE,0.0,2011-01-03 20:50:00,0
70,70,42060.0,2011.0,1.0,3.0,21.0,50.0,5.39,999.0,2.51,16.387,-63.35,56.0,10.7,1012.3,NE,0.0,2011-01-03 21:50:00,0
71,71,42060.0,2011.0,1.0,3.0,22.0,50.0,5.31,999.0,2.39,16.387,-63.35,54.0,11.1,1012.4,NE,0.0,2011-01-03 22:50:00,0
