#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50  48  8.9 11.0  1.39 10.00  5.38  41 1021.0  22.1  24.8  15.0 99.0 99.00
2011 01 01 00 50  48  9.5 11.8  1.49 10.00  5.16  22 1021.3  22.1  24.8  14.9 99.0 99.00
2011 01 01 01 50  45  8.8 11.4  1.64 10.81  5.11  40 1021.8  22.0  24.8  14.8 99.0 99.00
2011 01 01 02 50  48  9.1 11.4  1.52  4.76  5.07  44 1022.3  22.0  24.8  14.7 99.0 99.00
2011 01 01 03 50  48  8.8 11.1  1.64  5.26  5.06  60 1022.2  21.9  24.8  14.2 99.0 99.00
2011 01 01 04 50  52  8.7 10.3  1.74  5.26  5.24  47 1021.6  21.8  24.8  13.7 99.0 99.00
2011 01 01 05 50  60  7.8  9.5  1.64  9.09  5.41  30 1021.1  21.8  24.8  13.2 99.0 99.00
2011 01 01 06 50  56  6.7  8.4  1.56 10.00  5.40  29 1020.5  21.8  24.8  12.1 99.0 99.00
2011 01 01 07 50  50  6.3  8.6  1.51  5.26  5.35  67 1020.2  21.7  24.7  14.0 99.0 99.00
2011 01 01 08 50  51  8.0  9.2  1.52  8.33  5.45  40 1019.9  21.8  24.7  15.0 99.0 99.00
2011 01 01 09 50  46  9.6 11.6  1.50  6.25  5.05  54 1019.6  21.8  24.7  15.4 99.0 99.00
2011 01 01 10 50  54  9.5 11.1  1.57  5.26  5.13  51 1020.0  22.0  24.7  15.1 99.0 99.00
2011 01 01 11 50  49  9.7 11.4  1.68  5.88  5.05  63 1020.5  21.9  24.7  14.7 99.0 99.00
2011 01 01 12 50  50  9.1 10.7  1.74  5.56  5.12  66 1021.5  21.9  24.7  14.0 99.0 99.00
2011 01 01 13 50  55  8.6  9.9  1.82  5.88  5.37  58 1022.4  22.0  24.8  12.9 99.0 99.00
2011 01 01 14 50  48  9.6 11.4  1.81  5.88  5.33  62 1022.3  21.9  24.8  13.8 99.0 99.00
2011 01 01 15 50  47  9.2 11.1  1.83  6.25  5.18  74 1021.9  21.7  24.8  14.0 99.0 99.00
2011 01 01 16 50  49  9.1 11.1  1.75  6.67  5.25  62 1021.2  21.6  24.8  13.7 99.0 99.00
2011 01 01 17 50  47  8.6 10.0  1.68  6.67  5.34  67 1020.4  21.6  24.8  13.6 99.0 99.00
2011 01 01 18 50  59  7.6  8.8  1.72  6.25  5.43  65 1020.1  21.8  24.8  13.6 99.0 99.00
2011 01 01 19 50  55  7.3  8.5  1.67  5.56  5.46  67 1019.8  21.9  24.8  14.3 99.0 99.00
2011 01 01 20 50  58  7.4  9.3  1.63  6.67  5.55  74 1019.7  21.9  24.8  14.6 99.0 99.00
2011 01 01 21 50  59  7.6  9.7  1.53  8.33  5.53  72 1020.0  22.1  24.8  15.0 99.0 99.00
2011 01 01 22 50  76  7.3 10.7  1.59  8.33  5.66  62 1020.3  22.6  24.8  13.4 99.0 99.00
2011 01 01 23 50  70  6.5  8.2  1.57  7.14  5.44  75 1020.9  22.6  24.8  13.6 99.0 99.00
2011 01 02 00 50  71  6.6  8.5  1.47  6.67  5.52  66 1020.9  22.6  24.8  14.4 99.0 99.00
2011 01 02 01 50  59  6.1  7.3  1.44  7.14  5.42  76 1021.3  22.5  24.8  15.5 99.0 99.00
2011 01 02 02 50  72  4.9  6.6  1.41  7.14  5.61  57 1021.6  22.5  24.8  15.9 99.0 99.00
2011 01 02 03 50  89  5.0  6.2  1.48  6.67  5.72  83 1021.2  22.8  24.8  14.5 99.0 99.00
2011 01 02 04 50  97  5.7  7.4  1.36  6.67  5.48  87 1020.6  22.8  24.7  14.8 99.0 99.00
2011 01 02 05 50  80  6.8  8.0  1.39  7.14  5.51  79 1020.1  22.7  24.7  15.0 99.0 99.00
2011 01 02 06 50  73  6.1  7.2  1.45  8.33  5.39  75 1019.8  22.7  24.7  14.8 99.0 99.00
2011 01 02 07 50  64  7.5  9.0  1.46  6.67  5.38  72 1019.5  22.7  24.7  15.7 99.0 99.00
2011 01 02 08 50  60  8.7 11.1  1.52  7.69  5.31  85 1019.2  22.0  24.7  17.1 99.0 99.00
2011 01 02 09 50  65  8.2  9.6  1.59  8.33  5.11  62 1019.0  22.4  24.7  16.4 99.0 99.00
2011 01 02 10 50  64  9.5 11.3  1.69  8.33  5.38  75 1019.2  22.1  24.7  16.9 99.0 99.00
2011 01 02 11 50  68  9.9 12.1  1.78  7.69  5.38  76 1019.7  21.8  24.7  17.3 99.0 99.00
2011 01 02 12 50  65  9.5 11.4  1.82  6.25  5.32  67 1020.6  22.2  24.7  16.5 99.0 99.00
2011 01 02 13 50 106  5.0  7.4  1.67  7.69  5.39  89 1021.8  20.3  24.7  17.5 99.0 99.00
2011 01 02 14 50 102  5.4  8.8  1.81  6.67  5.40  80 1021.9  21.3  24.7  17.3 99.0 99.00
2011 01 02 15 50  76  7.8  9.7  1.80  7.69  5.43  90 1021.1  22.9  24.7  15.7 99.0 99.00
2011 01 02 16 50  78  7.4  8.7  1.59  7.69  5.32  71 1020.5  23.1  24.7  15.1 99.0 99.00
2011 01 02 17 50  72  6.7  8.6  1.66  7.14  5.56  91 1019.5  23.0  24.8  14.7 99.0 99.00
2011 01 02 18 50  70  6.7  8.4  1.74  7.69  5.62  83 1018.9  22.9  24.8  15.3 99.0 99.00
2011 01 02 19 50  72  6.6  8.0  1.69  7.69  5.69  96 1018.6  22.9  24.8  15.2 99.0 99.00
2011 01 02 20 50  70  6.2  7.6  1.62  7.14  5.66  95 1018.5  22.9  24.8  14.8 99.0 99.00
2011 01 02 21 50  72  6.9  8.4  1.51  7.69  5.45  86 1018.7  22.8  24.8  14.7 99.0 99.00
2011 01 02 22 50  63  7.2  8.6  1.68  7.14  5.79  91 1019.0  22.8  24.7  15.6 99.0 99.00
2011 01 02 23 50  69  7.3  9.0  1.63  7.14  5.79  87 1019.3  22.8  24.7  15.7 99.0 99.00
2011 01 03 00 50  86  6.8  8.3  1.61  7.14  5.52  87 1019.7  22.7  24.7  15.6 99.0 99.00
2011 01 03 01 50  70  6.8  8.3  1.61  7.69  5.66  95 1020.1  22.7  24.7  16.2 99.0 99.00
2011 01 03 02 50  58  6.7  8.5  1.65  7.69  5.77  96 1020.2  22.6  24.7  16.3 99.0 99.00
2011 01 03 03 50  64  5.6  7.1  1.69  7.14  5.79  90 1020.0  22.6  24.7  16.0 99.0 99.00
2011 01 03 04 50  48  5.4  6.9  1.54  6.67  5.70  85 1019.6  22.5  24.7  16.0 99.0 99.00
2011 01 03 05 50  44  5.5  7.7  1.64  7.14  5.93  98 1019.0  22.5  24.7  15.7 99.0 99.00
2011 01 03 06 50  38  6.3  7.2  1.47  6.67  5.57  95 1018.5  22.5  24.7  15.7 99.0 99.00
2011 01 03 07 50  82  7.5  9.8  1.41  7.69  5.57 105 1018.1  22.1  24.7  15.8 99.0 99.00
2011 01 03 08 50  55  4.6  5.7  1.37  7.69  5.64 102 1017.8  22.1  24.7  14.8 99.0 99.00
2011 01 03 09 50  47  6.0  7.5  1.38  7.14  5.75  92 1017.7  22.6  24.7  15.3 99.0 99.00
2011 01 03 10 50  44  6.4  8.4  1.41  7.14  5.58  89 1017.9  22.4  24.7  15.7 99.0 99.00
2011 01 03 11 50  42  7.1  8.5  1.47  7.69  5.44 107 1018.6  22.5  24.6  14.6 99.0 99.00
2011 01 03 12 50  49  7.0  8.4  1.39  7.69  5.32 100 1019.0  22.7  24.6  13.7 99.0 99.00
2011 01 03 13 50  45  7.0  8.4  1.42  7.14  5.43  96 1019.4  22.7  24.7  13.8 99.0 99.00
2011 01 03 14 50  54  7.1  8.1  1.49  7.69  5.45 106 1019.7  22.7  24.7  15.1 99.0 99.00
2011 01 03 15 50  59  5.6  6.8  1.40  7.69  5.45 104 1019.6  22.8  24.7  14.7 99.0 99.00
2011 01 03 16 50  53  5.3  6.7  1.41  7.14  5.58 102 1019.0  22.7  24.8  15.4 99.0 99.00
2011 01 03 17 50  45  4.2  5.5  1.32  7.69  5.76 101 1018.4  22.7  24.8  14.7 99.0 99.00
2011 01 03 18 50  46  4.1  5.0  1.31  7.14  5.88 109 1017.7  22.6  24.8  15.1 99.0 99.00
2011 01 03 19 50  36  5.2  6.2  1.25  7.69  5.95 104 1017.4  22.7  24.9  14.9 99.0 99.00
2011 01 03 20 50  47  4.7  5.8  1.26  7.14  5.85  85 1017.8  22.8  24.8  14.7 99.0 99.00
2011 01 03 21 50  39  4.7  5.8  1.35  8.33  6.08 118 1018.0  22.7  24.8  14.7 99.0 99.00
2011 01 03 22 50  24  5.0  6.4  1.21  7.69  5.84 107 1018.5  22.8  24.7  14.5 99.0 99.00
2011 01 03 23 50  20  6.5  7.7  1.28  7.69  5.84  99 1019.2  22.7  24.7  14.9 99.0 99.00
2011 01 04 00 50  27  5.7  6.9  1.40  7.69  5.91 114 1019.5  22.7  24.7  14.2 99.0 99.00
2011 01 04 01 50  36  5.6  7.1  1.23  7.69  5.61 112 1019.5  22.6  24.7  14.4 99.0 99.00
