#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 251  1.0  1.5  0.57  7.69  6.18 999 1026.6 999.0   8.2 999.0 99.0 99.00
2011 01 01 00 50 164  2.0  2.2  0.53  8.33  6.31 999 1026.2 999.0   8.1 999.0 99.0 99.00
2011 01 01 01 50 318  1.3  1.6  0.52 10.81  6.40 999 1026.3 999.0   8.2 999.0 99.0 99.00
2011 01 01 02 50 245  1.2  1.4  0.47 10.00  6.62 999 1026.1 999.0   8.5 999.0 99.0 99.00
2011 01 01 03 50 228  2.5  2.7  0.48  9.09  6.70 999 1025.6 999.0   8.6 999.0 99.0 99.00
2011 01 01 04 50 268  1.9  2.1  0.50  8.33  6.70 999 1025.2 999.0   8.7 999.0 99.0 99.00
2011 01 01 05 50 289  2.1  2.3  0.49  9.09  6.54 999 1024.7 999.0   8.7 999.0 99.0 99.00
2011 01 01 06 50 283  2.9  3.2  0.51  8.33  6.91 999 1024.5 999.0   8.8 999.0 99.0 99.00
2011 01 01 07 50 308  2.8  3.2  0.49  9.09  6.81 999 1024.4 999.0   8.9 999.0 99.0 99.00
2011 01 01 08 50 322  2.3  2.8  0.46  9.09  6.40 999 1024.4 999.0   8.9 999.0 99.0 99.00
2011 01 01 09 50 318  1.5  1.8  0.50  9.09  6.45 999 1024.1 999.0   8.9 999.0 99.0 99.00
2011 01 01 10 50 339  1.4  1.6  0.49  9.09  6.57 999 1024.2 999.0   8.8 999.0 99.0 99.00
2011 01 01 11 50  21  0.3  0.5  0.49  9.09  6.07 999 1024.3 999.0   8.8 999.0 99.0 99.00
2011 01 01 12 50   9  0.3  0.5  0.46  9.09  6.42 999 1024.9 999.0   9.0 999.0 99.0 99.00
2011 01 01 13 50 338  1.5  2.0  0.45  9.09  6.76 999 1025.2 999.0   9.2 999.0 99.0 99.00
2011 01 01 14 50  70  0.7  1.0  0.43 10.00  5.84 999 1025.7 999.0   9.4 999.0 99.0 99.00
2011 01 01 15 50  87  1.3  1.9  0.48  8.33  5.50 999 1025.2 999.0  10.4 999.0 99.0 99.00
2011 01 01 16 50  90  1.4  1.6  0.45  8.33  4.78 999 1024.4 999.0  12.1 999.0 99.0 99.00
2011 01 01 17 50 137  0.2  0.7  0.44  8.33  4.96 999 1023.4 999.0  13.6 999.0 99.0 99.00
2011 01 01 18 50 234  4.2  5.0  0.52  8.33  5.16 999 1022.4 999.0  15.0 999.0 99.0 99.00
2011 01 01 19 50 223  5.4  6.5  0.55 10.81  4.71 999 1022.1 999.0  17.3 999.0 99.0 99.00
2011 01 01 20 50 206  7.1  8.3  0.76  4.17  3.87 999 1022.0 999.0  18.2 999.0 99.0 99.00
2011 01 01 21 50 200  7.3  8.9  0.91  4.35  3.83 999 1022.0 999.0  19.0 999.0 99.0 99.00
2011 01 01 22 50 208  6.0  7.2  0.83  4.55  3.79 999 1022.3 999.0  19.1 999.0 99.0 99.00
2011 01 01 23 50 203  5.6  7.0  0.84  4.35  3.82 999 1022.9 999.0  19.2 999.0 99.0 99.00
2011 01 02 00 50 202  5.6  6.7  0.82  4.35  3.96 999 1022.9 999.0  19.3 999.0 99.0 99.00
2011 01 02 01 50 222  5.2  7.0  0.79  4.55  3.91 999 1023.4 999.0  17.7 999.0 99.0 99.00
2011 01 02 02 50 224  5.5  6.2  0.80  4.17  3.81 999 1023.2 999.0  17.6 999.0 99.0 99.00
2011 01 02 03 50 192  5.8  6.8  0.85  4.17  3.88 999 1021.6 999.0  17.4 999.0 99.0 99.00
2011 01 02 04 50 211  6.2  7.1  0.85  4.35  3.92 999 1021.3 999.0  17.3 999.0 99.0 99.00
2011 01 02 05 50 212  6.3  7.0  0.89  4.00  3.81 999 1020.7 999.0  15.2 999.0 99.0 99.00
2011 01 02 06 50 214  5.5  6.1  0.90  4.00  3.81 999 1020.4 999.0  12.7 999.0 99.0 99.00
2011 01 02 07 50 202  5.6  7.2  0.96  4.55  3.96 999 1019.9 999.0  12.2 999.0 99.0 99.00
2011 01 02 08 50 196  7.6  8.5  1.08  4.35  4.06 999 1017.9 999.0  11.4 999.0 99.0 99.00
2011 01 02 09 50 199  7.5  8.2  1.17  4.76  4.07 999 1018.0 999.0  12.0 999.0 99.0 99.00
2011 01 02 10 50 221  5.3  6.0  1.24  5.26  4.02 999 1018.3 999.0  12.8 999.0 99.0 99.00
2011 01 02 11 50 219  6.1  6.7  1.30  5.00  4.29 999 1018.4 999.0  12.9 999.0 99.0 99.00
2011 01 02 12 50 250  5.8  6.9  1.39  5.00  4.37 999 1018.8 999.0  12.7 999.0 99.0 99.00
2011 01 02 13 50 241  5.4  6.1  1.36  5.26  4.41 999 1018.9 999.0  12.9 999.0 99.0 99.00
2011 01 02 14 50 257  5.1  6.4  1.22  5.56  4.47 999 1019.3 999.0  13.4 999.0 99.0 99.00
2011 01 02 15 50 237  4.4  5.2  1.22  5.56  4.53 999 1018.6 999.0  14.2 999.0 99.0 99.00
2011 01 02 16 50 223  6.7  8.1  1.11  5.56  4.58 999 1017.6 999.0  14.9 999.0 99.0 99.00
2011 01 02 17 50 219  4.8  5.5  1.29  5.88  4.85 999 1015.9 999.0  13.2 999.0 99.0 99.00
2011 01 02 18 50 220  6.2  6.9  1.09  6.25  4.88 999 1014.8 999.0  10.1 999.0 99.0 99.00
2011 01 02 19 50 214  5.6  6.2  1.17  6.25  4.90 999 1014.0 999.0   9.2 999.0 99.0 99.00
