#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50  61 10.2 11.8  2.70  7.14  6.29  59 1015.7  25.8  26.6  21.3 99.0 99.00
2017 01 01 00 50  50 10.3 12.3  2.83 12.12  6.33  25 1015.6  25.7  26.6  21.3 99.0 99.00
2017 01 01 01 50  51 10.2 11.7  2.54  7.14  6.15  73 1015.7  25.6  26.6  21.1 99.0 99.00
2017 01 01 02 50  55  9.9 11.8  2.62  7.14  6.26  82 1015.7  25.6  26.6  21.1 99.0 99.00
2017 01 01 03 50  46 10.1 11.7  2.45 12.12  5.98  22 1015.3  25.5  26.6  21.3 99.0 99.00
2017 01 01 04 50  49  9.7 11.6  2.63 12.12  6.24  19 1015.0  25.4  26.6  20.9 99.0 99.00
2017 01 01 05 50  47  9.6 11.9  2.31 12.12  6.29  28 1014.3  25.3  26.6  20.9 99.0 99.00
2017 01 01 06 50  53  9.7 11.3  2.37 12.12  6.17  12 1014.1  25.3  26.6  20.6 99.0 99.00
2017 01 01 07 50  54  9.4 11.1  2.28 12.12  6.11 360 1014.2  25.3  26.6  20.2 99.0 99.00
2017 01 01 08 50  50  9.0 10.6  2.21  7.14  6.02  69 1014.2  25.3  26.6  20.8 99.0 99.00
2017 01 01 09 50  55  9.0 10.5  2.29  7.69  5.93  82 1014.7  25.4  26.6  20.5 99.0 99.00
2017 01 01 10 50  53  8.7 10.6  2.31 11.43  6.09  20 1015.5  25.5  26.6  20.1 99.0 99.00
2017 01 01 11 50  54  8.5 10.5  2.24  7.69  6.07  72 1016.3  25.6  26.6  20.1 99.0 99.00
2017 01 01 12 50  57  8.6 10.8  2.02  7.14  5.72  81 1016.3  25.6  26.6  20.2 99.0 99.00
2017 01 01 13 50  60  9.2 10.5  2.24  7.14  5.98  81 1016.3  25.6  26.6  19.9 99.0 99.00
2017 01 01 14 50  57  8.8 10.5  2.15 11.43  6.00  26 1015.9  25.6  26.6  19.9 99.0 99.00
2017 01 01 15 50  50  8.3 10.1  2.20  7.69  5.83  67 1015.0  25.5  26.6  20.1 99.0 99.00
2017 01 01 16 50  55  8.2 10.1  2.02 10.81  5.92  14 1014.2  25.6  26.6  20.1 99.0 99.00
2017 01 01 17 50  49  8.3  9.5  2.13  7.14  5.89  78 1013.8  25.5  26.6  20.2 99.0 99.00
2017 01 01 18 50  57  8.9 10.1  1.91  7.14  5.65  70 1014.0  25.6  26.6  19.9 99.0 99.00
2017 01 01 19 50  53  8.7 10.2  2.02  7.14  6.00  62 1014.4  25.6  26.6  20.2 99.0 99.00
2017 01 01 20 50  61  8.7 10.2  2.12  7.69  6.00  69 1014.7  25.6  26.6  20.1 99.0 99.00
2017 01 01 21 50  55  8.8 10.4  2.18  7.69  6.07  83 1015.2  25.5  26.6  20.1 99.0 99.00
2017 01 01 22 50  58  9.0 10.5  2.03  7.14  5.84  69 1015.8  25.7  26.5  19.5 99.0 99.00
2017 01 01 23 50  59  8.6 10.3  2.04  7.69  5.92  70 1016.3  25.6  26.5  20.0 99.0 99.00
2017 01 02 00 50  56  8.6 10.1  2.08  7.69  5.82  70 1016.6  25.5  26.5  19.9 99.0 99.00
2017 01 02 01 50  54  8.5 11.0  2.02  6.67  5.76  71 1016.9  25.6  26.5  20.0 99.0 99.00
2017 01 02 02 50  60  8.1  9.6  2.07  7.14  5.86  78 1016.7  25.5  26.5  20.0 99.0 99.00
2017 01 02 03 50  69  7.3  8.7  2.05  7.69  6.04  80 1016.3  25.5  26.5  20.4 99.0 99.00
2017 01 02 04 50  52  8.1  9.4  2.01  7.69  5.82  62 1015.4  25.3  26.5  20.9 99.0 99.00
2017 01 02 05 50  56  8.4  9.7  2.04  7.69  5.80  78 1014.7  25.3  26.5  20.4 99.0 99.00
2017 01 02 06 50  54  8.8 10.5  1.88  7.69  5.62  67 1014.2  25.1  26.5  20.9 99.0 99.00
2017 01 02 07 50  55  8.0  9.9  1.96  8.33  5.69  57 1013.9  25.3  26.5  20.8 99.0 99.00
2017 01 02 08 50  63  7.9  9.4  1.95  7.69  5.68  57 1013.8  25.3  26.5  20.9 99.0 99.00
