#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 08 13 01 30  99  6.0  7.5 99.00 99.00 99.00 999 1017.4  28.8 999.0 999.0 99.0 99.00
2017 08 13 01 40  98  6.1  7.3 99.00 99.00 99.00 999 1017.5  28.8 999.0 999.0 99.0 99.00
2017 08 13 01 50  97  5.9  6.8 99.00 99.00 99.00 999 1017.5  28.8 999.0 999.0 99.0 99.00
2017 08 13 02 00  97  6.1  7.3  1.00  3.90 99.00  80 1017.5  28.8  29.5 999.0 99.0 99.00
2017 08 13 02 10 101  6.0  6.9 99.00 99.00 99.00 999 1017.7  28.7 999.0 999.0 99.0 99.00
2017 08 13 02 20 103  6.3  7.8 99.00 99.00 99.00 999 1017.6  28.7 999.0 999.0 99.0 99.00
2017 08 13 02 30  97  6.1  7.2 99.00 99.00 99.00 999 1017.7  28.7 999.0 999.0 99.0 99.00
2017 08 13 02 40 104  5.9  7.0 99.00 99.00 99.00 999 1017.8  28.7 999.0 999.0 99.0 99.00
2017 08 13 02 50 101  5.7  6.8 99.00 99.00 99.00 999 1017.8  28.7 999.0 999.0 99.0 99.00
2017 08 13 03 00  97  5.8  6.9  0.90  3.90 99.00  71 1017.9  28.8  29.6 999.0 99.0 99.00
2017 08 13 03 10  98  6.1  7.2 99.00 99.00 99.00 999 1017.8  28.7 999.0 999.0 99.0 99.00
2017 08 13 03 20 108  6.0  7.2 99.00 99.00 99.00 999 1017.7  28.8 999.0 999.0 99.0 99.00
2017 08 13 03 30 105  6.0  7.2 99.00 99.00 99.00 999 1017.5  28.7 999.0 999.0 99.0 99.00
2017 08 13 03 40 103  6.4  7.8 99.00 99.00 99.00 999 1017.5  28.7 999.0 999.0 99.0 99.00
2017 08 13 03 50 105  5.8  6.7 99.00 99.00 99.00 999 1017.4  28.7 999.0 999.0 99.0 99.00
2017 08 13 04 00 102  5.9  7.1  0.80  4.00 99.00  81 1017.4  28.6  29.6 999.0 99.0 99.00
2017 08 13 04 10 102  6.4  7.3 99.00 99.00 99.00 999 1017.3  28.6 999.0 999.0 99.0 99.00
2017 08 13 04 20 104  6.0  7.1 99.00 99.00 99.00 999 1017.2  28.6 999.0 999.0 99.0 99.00
2017 08 13 04 30  97  5.8  6.8 99.00 99.00 99.00 999 1017.2  28.6 999.0 999.0 99.0 99.00
2017 08 13 04 40 100  5.8  6.8 99.00 99.00 99.00 999 1017.2  28.6 999.0 999.0 99.0 99.00
2017 08 13 04 50  97  5.8  7.2 99.00 99.00 99.00 999 1017.1  28.6 999.0 999.0 99.0 99.00
2017 08 13 05 00 101  5.6  6.7  0.80  4.00 99.00  72 1017.1  28.7  29.5 999.0 99.0 99.00
2017 08 13 05 10  94  5.8  6.8 99.00 99.00 99.00 999 1017.1  28.6 999.0 999.0 99.0 99.00
2017 08 13 05 20  98  5.4  6.7 99.00 99.00 99.00 999 1017.2  28.6 999.0 999.0 99.0 99.00
2017 08 13 05 30  92  5.6  7.1 99.00 99.00 99.00 999 1017.1  28.6 999.0 999.0 99.0 99.00
2017 08 13 05 40  87  5.5  6.9 99.00 99.00 99.00 999 1017.1  28.6 999.0 999.0 99.0 99.00
2017 08 13 05 50  82  5.7  6.7 99.00 99.00 99.00 999 1017.0  28.6 999.0 999.0 99.0 99.00
2017 08 13 06 00  88  5.4  6.4  0.80  4.10 99.00  73 1016.9  28.6  29.5 999.0 99.0 99.00
2017 08 13 06 10  86  6.0  7.4 99.00 99.00 99.00 999 1016.8  28.6 999.0 999.0 99.0 99.00
2017 08 13 06 20  85  5.9  7.6 99.00 99.00 99.00 999 1016.7  28.6 999.0 999.0 99.0 99.00
2017 08 13 06 30  88  5.6  6.6 99.00 99.00 99.00 999 1016.7  28.6 999.0 999.0 99.0 99.00
2017 08 13 06 40  85  5.2  6.7 99.00 99.00 99.00 999 1016.8  28.5 999.0 999.0 99.0 99.00
2017 08 13 06 50  88  4.8  7.1 99.00 99.00 99.00 999 1016.7  28.4 999.0 999.0 99.0 99.00
2017 08 13 07 00  86  6.2  7.3  0.70  4.10 99.00  73 1016.6  28.5  29.5 999.0 99.0 99.00
2017 08 13 07 10  88  6.2  7.6 99.00 99.00 99.00 999 1016.6  28.5 999.0 999.0 99.0 99.00
2017 08 13 07 20  93  6.0  7.3 99.00 99.00 99.00 999 1016.5  28.5 999.0 999.0 99.0 99.00
2017 08 13 07 30  89  5.6  6.7 99.00 99.00 99.00 999 1016.6  28.6 999.0 999.0 99.0 99.00
2017 08 13 07 40  99  4.8  6.3 99.00 99.00 99.00 999 1016.6  28.6 999.0 999.0 99.0 99.00
2017 08 13 07 50  89  4.6  5.8 99.00 99.00 99.00 999 1016.6  28.5 999.0 999.0 99.0 99.00
2017 08 13 08 00  89  4.9  6.6  0.70  3.90 99.00  76 1016.7  28.5  29.5 999.0 99.0 99.00
2017 08 13 08 10  87  4.8  6.1 99.00 99.00 99.00 999 1016.7  28.5 999.0 999.0 99.0 99.00
2017 08 13 08 20  84  5.6  7.3 99.00 99.00 99.00 999 1016.7  28.6 999.0 999.0 99.0 99.00
2017 08 13 08 30  79  6.3  7.8 99.00 99.00 99.00 999 1016.8  28.1 999.0 999.0 99.0 99.00
2017 08 13 08 40  76  6.5  7.6 99.00 99.00 99.00 999 1016.8  28.0 999.0 999.0 99.0 99.00
2017 08 13 08 50  82  6.1  7.1 99.00 99.00 99.00 999 1016.8  28.0 999.0 999.0 99.0 99.00
2017 08 13 09 00  82  6.0  7.2  0.70  3.80 99.00  74 1016.8  28.1  29.5 999.0 99.0 99.00
2017 08 13 09 10  81  5.6  6.5 99.00 99.00 99.00 999 1016.9  28.1 999.0 999.0 99.0 99.00
2017 08 13 09 20  85  5.5  6.7 99.00 99.00 99.00 999 1017.0  28.2 999.0 999.0 99.0 99.00
2017 08 13 09 30  87  5.4  6.2 99.00 99.00 99.00 999 1017.0  28.3 999.0 999.0 99.0 99.00
2017 08 13 09 40  88  5.3  6.3 99.00 99.00 99.00 999 1017.0  28.3 999.0 999.0 99.0 99.00
2017 08 13 09 50  92  5.2  6.2 99.00 99.00 99.00 999 1017.0  28.3 999.0 999.0 99.0 99.00
